Artist,Song Title,Genre,Lyrics,category
Onerepublic,Better Days,Pop,"Oh, I know that there'll be better days
Oh, that sunshine 'bout to come my way
May we never ever shed another tear for today
'Cause, oh, I know that there'll be better days

Wakin' up in California
But these clouds, they won't go away
Every day is like another storm, yeah
I'm just tryin' not to go insane
Yeah, in the city's shinin' so bright
So many dark nights, so many dark days
But every time I feel the paranoia
I close my eyes and I pray",1
Onerepublic,Wild Life,Pop,"I'm staring at the sudden waterfalls
Tears that don't make sense to me at all
This life's what happens when you're making plans
Don't know what happens next or where I stand

Wanna live this wild life wild every day, woo
Wanna say the things people never say, woo
I'll take all the love and all the pain, yeah
Wanna live this wild life wild today",1
Onerepublic,Ships + Tides,Pop,"I just lost the feeling that I had today
Do all these good times come and go away?
Tell me something that I can say
Sometimes I just want to walk away

And I begin to understand
Ships can sink or rise

But I'm standing here tonight
And I'm knocking on your door
I'll be anything you like
If you can tell me what I'm here for
Do we go on, and on, and on, and on?
Do we go on, and on, and on, and on?",1
Onerepublic,Someday (Acoustic),Pop,"Somedays I'm treadin' the water and feel like it's getting deep
Some nights I drown in the weight of the things that I think I need
Sometimes I feel incomplete, yeah
But you always say to me, say to me

Oh, you say, ""Someday when we're older
We'll be shinin' like we're gold, yeah, won't we? Won't we?
And someday when we're older
I'll be yours and you'll be mine, be happy, happy""

Oh, you say, ""Someday when we're older
We won't worry 'bout the things that we don't need"" (We don't need)
We don't need
""And one day down the line",1
Onerepublic,Lose Somebody,Pop,"It's a classic me mistake
Someone gives me love and I throw it all away
Tell me, have I gone insane?
Talking to myself, but I don't know what to say

'Cause you let go
And now, I'm holding on
I guess you don't know what you got
Until it's gone

Sometimes, you gotta lose somebody
Just to find out you really love someone, oh-oh-oh
And I do, and I do, and I do, yeah
Sometimes, you gotta lose somebody
Just to find out you really love someone, oh-oh-oh
Yeah, sometimes, you gotta lose somebody

So don't tell me, ""It's too late""
Hearts are made to bend, baby, please, don't let me break, yeah",1
Onerepublic,Wild Life,Pop,"I'm staring at the sudden waterfalls
Tears that don't make sense to me at all
This life's what happens when you're making plans
Don't know what happens next or where I stand

Wanna live this wild life wild every day, woo
Wanna say the things people never say, woo
I'll take all the love and all the pain, yeah
Wanna live this wild life wild today",1
Onerepublic,Start Again,Pop,"Can I just turn back the clock?
Forgive my sins
I just wanna roll my sleeves up
And start again
I don't think I messed it up
Time and time again
I just wanna roll my sleeves up
And start again

I was
Switchin' up the lanes
Steppin' out the frame I'm in
I was
Pulling on the reins
Sick of all the same happenin'

I swear I was
Looking for disaster
Mixed with a bottle of gin
And just because
I come home after
Doesn't mean you'll take me in

You see my world is spinning like there's nothing below",1
Maroon-5,Nobody's Love,Pop,"You can make a grown man cry
If you ever said, ""Goodbye""
Never let you go, oh, I (never let you go, oh, I)
You can make a grown man cry
If you ever left my side
Never let you go, oh, I (never let you go, oh, I)

You're the only hand in my back pocket
If you ever left, I'd go psychotic
Heaven, hear me cryin', cryin'
(Ooh, ooh, ooh)
Baby, you're the key to my heart locket
If you ever left, never unlock it
Lonely like an island, island
(Ooh, ooh, ooh)

If my love ain't your love
It's never gonna be nobody's love
Never gonna need nobody's love but yours (but yours)
If my love ain't your love
It's never gonna be nobody's love
Never gonna need nobody's touch but yours (but yours)

You can make a grown man cry",1
Maroon-5,Best 4 U,Pop,"Yeah another night out
I get drunk, I get high
Then you call and I lie
And I say I'm on my way now
Yeah, I say I'm on my way now

Show up when it's lights out
When you're dressing for work
And I'm mumbling words
I don't know what to say now
No, I don't know what to say now

You tell me I don't care
Tell me I never try
I said I'm sorry
Maybe a million times
It's gonna hurt you
If I don't say goodbye
You don't believe me
You don't believe me

I just want the best for you
I just want the best for you
But I'm just not the best for you
You don't want
What I'm gonna put you through

I just want the best for you
I just want the best for you
But I'm just not the best for you
You don't want
What I'm gonna put you through

Oh oh oh no baby
Oh oh oh no baby
Oh oh oh oh baby
You don't want
What I'm gonna put you through",1
Maroon-5,What Lovers Do,Pop,"Say say say, hey hey now, baby
Oh mama, don't play now, baby
Say say say, hey hey now, baby
Said let's get one thing straight now, baby

Tell me, tell me if you love me or not
Love me or not, love me or not
I'll bet the house on you, am I lucky or not
Lucky or not, lucky or not?
You gotta tell me if you love me or not
Love me or not, love me or not
Been wishin' for you, am I lucky or not
Lucky or not, lucky or not?

Ooh-ooh-ooh-ooh-ooh
Been wishin' for you
Ooh, ooh
Tryna do what lovers do, ooh
Ooh-ooh-ooh-ooh-ooh
Been wishin' for you
Ooh, ooh
Tryna do what lovers do, ooh

Say say say, hey hey now, baby
You gon' make me hit you with that laydown, baby (oh)
Oh, say say say, hey hey now, baby",1
Maroon-5,Wait,Pop,"Dirty looks from your mother
Never seen you in a dress that color, no
It's a special occasion
Not invited but I'm glad I made it

Oh, let me apologize
I'll make up, make up, make up, make up for all those times
Your love, I don't wanna lose
I'm beggin', beggin', beggin', beggin', begging you

Wait, can you turn around, can you turn around?
Just wait, can we work this out, can we work this out?
Just wait, can you call me please? 'Cause I wanna be with you
Oh, wait, can you turn around, can you turn around?
Just wait, can we work this out, can we work this out?",1
Maroon-5,Lips On You,Pop,"You keep me connected to you, like I was your shadow
You're givin' me answers to all of my questions here on my pillow, oh
Can't nothing get in between us, baby
We've been waiting on this moment for so long
You wanna be reckless, restless, right until tomorrow
Wait

When I put my lips on you
I feel the shivers go up and down your spine for me
Make you cry for me
When I put my lips on you
I hear your voice echoing all through the night for me
Baby, cry for me
When I put my lips on you (when I, when I, when I)
When I put my lips on you (when I, when I, when I)",1
